anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
AO CUBO IMOBILIARIA ,,,2022-06-17,Pinheiros,,São Paulo,2966310807,,,,Rua Francisco Leitão 57,,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-pinheiros-esquina-pinheiros-2966310807.html,,440.700,
AO CUBO IMOBILIARIA ,,,2022-06-17,Pinheiros,,São Paulo,2966314224,,,,"R. da Consolação, 3202",,,,,https://www.wimoveis.com.br/propriedades/apartamento-jardins-solo-jardins-2966314224.html,,588.900,
THAIS IMOBILIÁRIA VENDAS,33,38,2022-07-02,Águas Claras,1,Brasília,2959645488,,,,Alameda dos Eucaliptos 5,1,,1,1,https://www.wimoveis.com.br/propriedades/residencial-conquest-proximo-ao-felicitta-shopping-2959645488.html,300,315.000,
ATALAIA Empreendimentos Imobiliários,34,34,2022-07-02,Águas Claras,1,Brasília,2962203915,17841,,,Avenida das Araucárias 0,1,3,1,,https://www.wimoveis.com.br/propriedades/residencial-blend-a-venda-1-quarto-localizacao-2962203915.html,400,340.000,
THAIS IMOBILIÁRIA VENDAS,53,91,2022-07-02,Águas Claras,2,Brasília,2966083929,,,,Rua 36 Sul 0,1,,2,1,https://www.wimoveis.com.br/propriedades/apartamento-com-2-dormitorios-a-venda-52-m-sup2--por-2966083929.html,450,679.000,
Thais Sá,118,118,2022-06-01,Águas Claras,5,Brasília,2956804746,23012,,,Rua 36 Sul,2,,3,3,https://www.wimoveis.com.br/propriedades/residencial-3.36-3-suites-118-m-sup2--vazado-alto-2956804746.html,,1.260.000,
ATALAIA Empreendimentos Imobiliários,32,32,2022-07-02,Águas Claras,,Brasília,2963727780,17841,,,Av Jequitibá 7,,,1,,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-bahamas-center-1-quarto-2963727780.html,321,210.000,
Ferola Filial Águas Claras 3,114,114,2022-06-20,Águas Claras,2,Brasília,2960834715,CJ 11476,,,RUA DAS PITANGUEIRAS,2,6,3,1,https://www.wimoveis.com.br/propriedades/r.-das-pitangueiras-3-quartos-chamonix-village-61-2960834715.html,800000,950.000,
ATALAIA Empreendimentos Imobiliários,163,163,2022-07-02,Águas Claras,5,Brasília,2963635902,17841,,,Avenida das Araucárias 999,2,,4,3,https://www.wimoveis.com.br/propriedades/apartamento-com-4-quartos-a-venda-aguas-claras-2963635902.html,1024,1.470.000,
Ferola Filial Águas Claras 6,141,141,2022-06-20,Águas Claras,3,Brasília,2959923581,CJ 11476,,,rua das paineiras,2,8,2,2,https://www.wimoveis.com.br/propriedades/2-quartos-duplex-alto-padrao-maison-exclusive-2959923581.html,778,1.550.000,
Daltro Corretor de Imoveis,63,63,2022-06-30,Águas Claras,2,Brasília,2963447097,18584-DF,,,Rua 37 Norte Lote 5,1,4,2,1,https://www.wimoveis.com.br/propriedades/dubai-desing-residence-2-qtos-com-suite-e-varanda-2963447097.html,,495.000,
ATALAIA Empreendimentos Imobiliários,82,130,2022-07-02,Águas Claras,3,Brasília,2964483051,17841,,,Quadra 204 111,1,,2,1,https://www.wimoveis.com.br/propriedades/olimpia-reformado-armarios-lazer-completo-quadra-2964483051.html,680,629.900,
COEMI IMÓVEIS.,41,41,2022-07-02,Águas Claras,1,Brasília,2966200551,3545,,,Rua 37 10,1,6,1,,https://www.wimoveis.com.br/propriedades/rua-37-sul-apartamento-de-1-quarto-a-venda-lazer-2966200551.html,380,300.000,
DIOGO MASSUDA,142,142,2022-06-30,Águas Claras,3,Brasília,2959547263,Creci 25937/DF,,,QUADRA 201,3,10,4,2,https://www.wimoveis.com.br/propriedades/quadra-201-res.-fontana-di-maria-aid-4-qts-2-2959547263.html,1018,1.050.000,
