anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
THAIS IMOBILIÁRIA VENDAS,43,43,2022-07-01,Asa Sul,1,Brasília,2956649293,,,,Quadra CRS 516 0,,36,1,,/propriedades/quadra-crs-516-asa-sul-proximo-ao-metro!-2956649293.html,364,220.000,
THAIS IMOBILIÁRIA VENDAS,87,97,2022-07-01,Asa Sul,2,Brasília,2964843807,,,,Quadra SQS 415 0,,,3,1,/propriedades/sqs-415-apartamento-reformado-e-com-armarios-em-2964843807.html,400,890.000,
Avanti Imob,179,179,2022-06-15,Asa Sul,3,Brasília,2960043238,12008,,,"Asa Sul ,Superquadra Sul 306",,15,2,1,/propriedades/apartamento-2-quartos-sqs-306-2960043238.html,,1.997.000,
FERNANDO VASCONCELOS,189,189,2022-06-21,Asa Sul,3,Brasília,2960846722,9615,,,SQS 302 BLOCO B,1,46,4,1,/propriedades/asa-sul-sqs-302-189-52-m-sup2--andar-alto-04-2960846722.html,1145,2.180.000,
MALBECK (Luciana) ,154,154,2022-05-31,Asa Sul,3,Brasília,2965108765,25254,,,SQS 306 Bloco E,,30,3,1,/propriedades/sqs-306-154-m-sup2--vazado-meio-de-quadra-2965108765.html,,1.490.000,
Moni Netimóveis,50,50,2022-05-31,Asa Sul,1,Brasília,2965804400,17097,,,SQS 412,,,2,,/propriedades/sqs-412-2965804400.html,320,439.000,
BISPO IMÓVEIS,50,50,2022-07-02,Asa Sul,,Brasília,2966193672,4151,,,QUADRA SHS QUADRA 6 6,,2,1,1,/propriedades/r$270.000-melia-brasil-xxi-2966193672.html,2000,270.000,
4IMOB - Assessoria imobiliária,148,148,2022-07-02,Asa Sul,5,Brasília,2959723686,25942,,,SQS 311 Asa Sul,1,15,3,3,/propriedades/sqs-311-asa-sul-3-quartos-garagem-elevador-2959723686.html,1200,1.800.000,
Gesa Carvalho Corretora de Imóveis,174,174,2022-06-01,Asa Sul,4,Brasília,2964828129,18716-DF,,,SQS 315 BLOCO K,1,28,4,1,/propriedades/sqs-315-bloco-k-4-quartos-1-suite-vazado-2964828129.html,1350,2.100.000,
Ferola Sede Asa Sul 10,110,110,2022-06-20,Asa Sul,2,Brasília,2963315284,CJ 11476,,,SQS 303 Bloco C,1,30,3,1,/propriedades/sqs-303-3-quartos-nascente-oportunidade-otima-2963315284.html,1040,1.310.000,
Elaine - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,154,154,2022-06-30,Asa Sul,3,Brasília,2965577916,,,,SQS 306 Asa Sul SHCS Brasília DF Quadra Vazado Vista Livre Reformado Apto,,19,3,1,/propriedades/quadra-sqs-306-asa-sul-3-quartos-1-suite-vazado-vista-2965577916.html,1200,1.500.000,
LMD imóveis ,87,87,2022-05-25,Asa Sul,2,Brasília,2965621890,,,,SQS 416,,9,3,1,/propriedades/sqs-416-3-quartos-87-m-sup2--vista-livre-2965621890.html,,740.000,
THAIS IMOBILIÁRIA VENDAS,48,64,2022-07-01,Asa Sul,1,Brasília,2964843805,,,,Quadra SQS 415 Bloco Q 0,,,2,,/propriedades/sqs-415-apartamento-de-2-quartos-com-lozalizacao-2964843805.html,400,500.000,
Coelho Imóveis Consultoria Prime,35,35,2022-06-22,Asa Sul,2,Brasília,2966483379,CJ 25138,,, CRS 516,,1,1,,/propriedades/apartamento-1-quarto-a-venda-na-asa-sul-scrs-516-2966483379.html,230,285.000,
MONTEIRO E ANDRADE IMÓVEIS,105,105,2022-06-03,Asa Sul,3,Brasília,2963352669,25286,,,SQS 307 ASA SUL,1,40,3,1,/propriedades/apartamento-3-quartos-sendo-uma-suite-sqs-307.-2963352669.html,900,1.230.000,
THAIS IMOBILIÁRIA VENDAS,85,85,2022-07-01,Asa Sul,2,Brasília,2965432223,,,,Quadra SQS 412 Bloco E 0,,,4,,/propriedades/sqs-412-bloco-e-apartamento-reformado-e-com-armarios-2965432223.html,336,900.000,
GALENO CONSULTOR IMOBILIÁRIO,125,134,2022-07-02,Asa Sul,3,Brasília,2961777697,14522,,,SQS 315-Asa Sul BRASILIA-DF,,57,3,1,/propriedades/oportunidade!-reformado-3-quartos-com-uma-suite-2961777697.html,700,1.450.000,
4IMOB - Assessoria imobiliária,86,86,2022-07-02,Asa Sul,2,Brasília,2963529970,25942,,,SQS 409  Asa Sul,,16,3,1,/propriedades/sqs-409-3-quartos-reformado-e-vazado.-2963529970.html,500,720.000,
NERO IMÓVEIS,139,139,2022-06-22,Asa Sul,3,Brasília,2965925947,26203,,,SQS 116 0,2,,3,1,/propriedades/apartamento-a-venda-3-quartos-1-suite-2-vagas-asa-2965925947.html,1520,1.980.000,
4IMOB - Assessoria imobiliária,62,62,2022-07-02,Asa Sul,2,Brasília,2962078943,25942,,,SQS 402 VISTA LIVRE OPORTUNIDADE,,20,2,,/propriedades/sqs-402-asa-sul-2-quartos-vista-livre-2962078943.html,685,600.000,
SMART IMOB ,49,88,2022-07-02,Asa Sul,1,Brasília,2961943856,24786,,,Trecho SCES Trecho 4 1,1,22,1,1,/propriedades/sces-brisas-do-lago-mobiliado-2961943856.html,970,680.000,
THAIS IMOBILIÁRIA VENDAS,78,124,2022-07-01,Asa Sul,2,Brasília,2958933158,,,,Quadra SQS 406 0,,,3,,/propriedades/sqs-406-apartamento-com-vista-livre-vazado-2958933158.html,400,700.000,
THAIS IMOBILIÁRIA VENDAS,105,135,2022-07-01,Asa Sul,3,Brasília,2964491629,,,,Quadra SQS 307 Bloco E 0,1,,3,1,/propriedades/sqs-307-apartamento-reformado-com-vista-livre-e-2964491629.html,900,1.230.000,
Biensky Imóveis,167,167,2022-06-25,Asa Sul,3,Brasília,2960329912,24391,,,SQS 216 BLOCO H,1,12,3,1,/propriedades/apartamento-alto-padrao-reformado-3-quartos-asa-sul-2960329912.html,1450,2.115.000,
 TAU CONSTRUTORA & IMOBILIÁRIA ,162,257,2022-06-29,Asa Sul,3,Brasília,2966207447,25000,,,"Qd Sqs 216,",1,,3,1,/propriedades/sqs-216-6-andar-vista-livre-2966207447.html,1540,1.899.000,
IMOBILIARIA ZOOM,210,210,2022-05-18,Asa Sul,4,Brasília,2960400420,20940pj,,,SQS 313,2,47,4,1,/propriedades/sqs-313-vazado-210-m-sup2--excelente-amplo-2960400420.html,1,2.430.000,
FEDERAL ADMINISTRADORA DE PROPRIEDADES,105,105,2022-07-01,Asa Sul,3,Brasília,2964888208,22838,,,SQS 307,1,,3,1,/propriedades/apartamento-sqs-307-2964888208.html,900,1.230.000,
61 IMÓVEIS - NETIMÓVEIS,148,148,2022-07-02,Asa Sul,,Brasília,2966390284,21418,,,Quadra SQS 106,,,3,,/propriedades/quadra-sqs-106-2966390284.html,,1.590.000,
 M CIDA ARAÚJO,128,128,2022-06-30,Asa Sul,3,Brasília,2964763382,10602,,,SQS 212,1,20,3,1,/propriedades/sqs-212-nascente-aceita-valor-park-sul-plantao-98429-2964763382.html,1000,1.650.000,
CBL IMÓVEIS,120,120,2022-06-29,Asa Sul,,Brasília,2949108907,CJ 10075,,,QUADRA SQS 213 BLOCO K,1,,3,1,/propriedades/sqs-213-todo-reformado-andar-alto-2949108907.html,850,1.300.000,
RJR IMÓVEIS NETIMÓVEIS,136,306,2022-05-18,Asa Sul,3,Brasília,2964438898,16506-DF,,,Apartamento 3 quartos - Asa Sul - SQS 109,1,5,3,1,/propriedades/apartamento-3-quartos-asa-sul-sqs-109-2964438898.html,901,1.550.000,
AMRBRASIL ASSESSORIA IMOBILIÁRIA,145,190,2022-03-22,Asa Sul,4,Brasília,2933860538,9760,,,SQS 202 BLOCO H Primeiro andar,1,20,3,1,/propriedades/sqs-202-bloco-2933860538.html,1100,1.400.000,
61 IMÓVEIS - NETIMÓVEIS,148,148,2022-07-02,Asa Sul,,Brasília,2966390284,21418,,,Quadra SQS 106,,,3,,/propriedades/quadra-sqs-106-2966390284.html,,1.590.000,
Roberto Gomes Corretor de Imoveis,163,163,2022-06-30,Asa Sul,4,Brasília,2941983396,6563,,,SQS 302 andar alto,1,20,4,1,/propriedades/predio-reformado-2941983396.html,1120,1.800.000,
 M CIDA ARAÚJO,128,128,2022-06-30,Asa Sul,3,Brasília,2964763382,10602,,,SQS 212,1,20,3,1,/propriedades/sqs-212-nascente-aceita-valor-park-sul-plantao-98429-2964763382.html,1000,1.650.000,
Massuh Imóveis,125,125,2022-07-02,Asa Sul,3,Brasília,2964919789,24825,,,QUADRA SHIGS 714,,13,3,1,/propriedades/shigs-714-nascente-vista-livre-reformado-2964919789.html,,1.190.000,
BRASILIS NETIMÓVEIS,85,170,2022-06-30,Asa Sul,2,Brasília,2966547959,23.649 PJ,,,SQS 311 Bloco E,,,2,,/propriedades/apartamento-a-venda-na-asa-sul-2966547959.html,1100,990.000,
JÂNIO SOUSA ASSESSORIA IMOBILIÁRIA,163,163,2022-07-02,Asa Sul,3,Brasília,2966375950,13.933,,,SQS 216,1,22,3,1,/propriedades/apartamento-a-venda-na-asa-sul-2966375950.html,1540,1.900.000,
